row,title_lat_norm
319,kakhano kakhano ichchera vahireo
320,ki kshati karechi
321,o pa dete vandhura va di
322,kichui naki deini tomaya
323,eta bhalovese tavu mitilona sadha
324,eto raga naya e ye abhimana
325,ekhano majhe majhe
326,ei jivana ekata nadi chila
327,ami mare gele jani tumi ka ndavena
328,ami sagarera vela
329,ami tomarai chilama
330,ami tomara janya vaishakhi jha de vanate pari va di
331,amara na yadi thake sukha
332,amara chokhera dekha bhula halo
333,aja tumi dura vahudura
334,aneka ke ndechi ami
335,bhalavasiya
336,ami bhulavo na tomake
337,tumi nai
338,ei samaya
339,ghare laiya yao re
340,phire ele na
341,asha nirasha
342,gu njana shuni
343,ami muthora bhitara padma niye
344,daragahe moma jvele ki have
345,anavila ashvase
346,nandini
347,nijhuma rate pradipa jveleche ta nra
348,yatai duhkha dao tumi amake
349,nirvasana
350,po da kagaja
351,uchcheda
352,sonara nupura
353,evara pujoya chai amaya venarasi
354,evarera pujote lala sha di nevo
355,bhevechilama a ngula cho nva
356,kakhano ki meghahina akasha dekhecho tumi cha da
357,ami tomara hate rekhe hata
358,prajapati sura
359,svapnera vivartana
360,keu vale phalguna keu vale palashera masa
361,megha dekhe
362,kona ekadina
363,yena kichu mane karo na
364,va da veshi mane pa de
365,akashera cha nda
366,o daktara
367,o ratera tarare
368,bhule yete chai ami
369,tumi nei kachakachi
370,bhule thaka
371,bhalavasara purnima
372,kshama kare dio vandhu
373,mana valache aja sandhyaya kichu valate tumi asave ki
374,svapne aka chavi
375,amara a nge a nge ke vajaya va nshi
376,ghuma asena jege thaki
377,vanera pakhi yadi hatama
378,dasyi chele
379,samsara
380,sukha sukha kare
381,shona avujha meye
382,sukhe theko tumi vandhavi
383,kashtera michile
384,ekatai prashna amara
385,amara priya vandhavi
386,nayika
387,tumi tumi kare ka nde amara ei mana
388,amara a nge jvale ra namashala
389,sarakari karmachari
390,bhaya
391,chora
392,sare ya nha se achcha
393,o mora mayana go
394,kato asha niye tumi esechile
395,yedina tomaya ami dekhechi
396,kena sarvanashera nesha dhariye tumi ele na ye
397,lajja mari mari eki lajja
398,jale nevo na ara thai pave na
399,haoya jhir jhir
400,nama chila na
401,amaye dhare rakha
402,vedanara ra na
403,rima jhima jhima vrrishti matira kane kane
404,ekatu gelei athai sagara
405,mayavati meghe ela tandra
406,kavita ki tai
407,akashera si nda়i veye
408,samane piche daine vame
409,yakhana ami aneka dure
410,tomara amara thikana padma meghana yamuna
411,aloka a ndhara yetha kare khela
412,mama mandire ele ke tumi
413,alo chaya dola utala phagune vanavina vaje
414,chithi likhachi nishi raite
415,prema tumi
416,ami likhate perechi vishvera sera muktira itihasa
417,eka phota visha tumi amaya ene dao
418,na na na tumi eso na
419,diganta drrishtira sheshanta
420,bhulavo na konadina tomake
421,e samaya়
422,sigareta
423,hei tumi ki amaya bhalovaso
424,aji milana nishi bhore
425,menechi go hara menechi
426,jivane yare tumi daoni mala
427,tumi ye giyacha vakula vichano pathe
428,ghuma haye
429,enechi amara shata janamera prema
430,yadi go kache asi phirayo na abhimane
431,o vandhu ei vakulajhara shravana rate
432,kata ye sayechi vyatha abhimanini
433,ei kshanatuku kena eta bhalo lage
434,yadi janate go tumi janate
435,o kena gela chale kathati nahi vale
436,phulete dhanya phaguna
437,pratiksha chila sara vikela ju de
438,patha bhula kare chalo neme pa di pathe
439,manera thikana
440,mane karo ami nei vasanta ese geche
441,o mayanare ei gayanare ara sayanare
442,kena janina ye shudhu tomara kathai mane pada়e
443,phire yete chai yete chai
444,jani na kakhana ye se kichu kichu pichutana rekhe geche
445,tomara deoya a nguriya khulate pari ni
446,tumi nirjana upakule nayikara mato
447,chih chih chih e ki kanda karechi
448,evara amaya eka thakate dao
449,ekagocha rajanigandha hate diye valalama chalalama
450,o amara chandramallika
451,shunya shunya
452,tumi katha rakhoni
453,savai chale geche
454,yadi janate chao tumi e vyatha amara katatuku
455,meye tumi hrridayahina
456,keu keu ke nde yaya jivanera veshitai
457,tomara dehera bha ngimati yena va nka sapa
458,shudhu tomara karane
459,yadi chokhera jale duhkhake muche phela yeto
460,gagane pavane aji cha diye geche ra na
461,kaveri nadi jale ke go valika
462,chaitali dine vaishakhi dine
463,ajasra kavya
464,harano dinake yadi phire ami pai
465,daradi go ki cheyechi ara ki ye pelama
466,udasa udasa dupure jhara patara nupure
467,gana phurano jalasaghare
468,eta vada় akashatake bharale jochanaya
469,phire aya vuke meghavalika
470,dana bha na pakhira mata
471,kha ncha bhe ne pakhi u de geche re
472,nijhuma rata
473,vesha to na haya saptarrishira
474,vane naya mane mora pakhi aja gana gaya
475,jhumakolatara vane dol dol dakhinaya
476,o kalo kokila tumi ara deko na
477,na vale esechi ta vale bhevo na
478,o malika sarajivana ka ndale yakhana amaya megha kare dao
479,natuna ganera ra nina khame pathiye dilama tomara name
480,prema yadi mora abhishapa halo tave
481,ei vasanta janale vidaya
482,amara hrridaya niye ara katakala vala kache ese dure dure thakave
483,cha nda kahe chameli go he nirupama
484,dure prantare ke gana dhare
485,krrishnachu da aguna tumi aguna jhara vane
486,aha na rayana va ndha rayana thai thai mana kichutei
487,aji mane mane lage hori
488,kuhura kavita prrithivi ye oi shone
489,dhina taka ku da dhina taka
490,mandira mas jida girjaya amara prarthana
491,eka eka lage
492,nava kishalaya ra na shayya patiya
493,sakhi ami i na haya mana karechinu
494,tomara ai hasite ki daruna jvala
495,ogo varasha tumi
496,ra ngini kata mana
497,yadi ekhano amake shudhu bhalolage
498,gabhira hayeche rata prrithivi ghumaya
499,kena phire yaya vedanaya abhimanini
500,lalita go oke aja chale yete valana
501,prakhara daruna ati dirgha dagdha dina
502,sada়e ata hajara maila dure
503,meye
504,nijhuma niravata
505,janani tomara karuna charanakhani
506,naya়ne nida nahi
507,e kona mayaya phelile amaya
508,e kula bha ne o kula gada়e ei to nadira khela
509,oma tora bhuvane jvale eta alo
510,he parthasarathi vajao vajao pa nchajanya sha nkha
511,hrridaya kena chahe hrridaya ami jani mana jane
512,haya a ninaya sakhi ajo sei cha npa phote
513,chetanara anushthane
514,dakshina samirana sathe vajo venuka
515,ami prabhati tara purvachale
516,tomake haraya yadi tave
517,tomake yadi
518,ami cha ndake valechi alo dio
519,cha nderao irsha have tomaya dekhe
520,ei to shudhu amara janya karagara
521,yadi bhula kare kache ese thaki
522,amake yadi go tumi eta vasa bhalo
523,o kalo meye nijei jano na
524,mane to pa de na kona dina
525,kena bhalavasa hariye yaya
526,mana vale kache tumi dakave
527,kachi patara tiya ra na
528,vidhi amara e chokha andha kare dao
529,valite tomara nama likhe divo
530,aja tomara janmadina ki devo valo upahara
531,chale gecho bhalo katha duhkha nei
532,phatema
533,jivanera va da parajaya
534,tumi chale gecho aneka dure
535,va nchavo na
536,jala pa de pata na de
537,tumi aparupa
538,bhalovasi vandhu bhalovasi bhalovasi tomaya
539,o pashani vale yao
540,o priya tumi kothaya
541,mane ki pa de na amake
542,aja kala parashu naya
543,valate valate chalate chalate
544,manera manusha tumi valo na
545,samsara yave mana ke de laya
546,eta sahasaya
547,ki emana haya
548,bhuli kemane ajao ye mane vedana sane rahila a nka
549,bhulite parine tai asiyachi patha bhuli
550,bhorera haoyaya ele ghuma bha ngate ki
551,mago chinmayi rupa dhare aya
552,mamataja mamataja tomara tajamahala
553,yao yao tumi phire ei muchinu a nkhi
554,yedina lava vidaya dhara cha di piye
555,ra ngila apani radha tare horira ram dio na
556,shmashane jagiche shyama antime santane nite kole
557,sajiyacha yogi vala kara lagi taruna vivagi
558,sati hara udasi bhairava ka nde
559,sure o vanira mala diye tumi amare chu niyachile
560,srrijana chande anande nacho nataraja he
561,sedina chila ki godhuli lagana shubhadrrishtira kshana
562,sandhya gadhuli lagane
563,amara shyama mayera kole cha de
564,adho adho vola laje vadho vadho vola
565,akashe aja cha diye dilama priya
566,esea nupura vajaiya yamuna nachaiya
567,kathara kusume ga ntha ganera malika
568,radha tulasi prema piyasi golakavasi shrikrrishna narayana
569,nadira nama sai a njana nache tire kha njana
570,lalita lava ngalata dole malayasamire elana krrishna kena
571,ma o mati
572,devadasa valo na amaya
573,eka kapa cha
574,agera mata ache
575,ram namvara
576,phato sundari
577,bhamchura prema
578,tomara sathe yadi nai dekha haya
579,anamana
580,purnima cha nda
581,abhiyoga nei
582,ekadina kannara rola uthave
583,yadi chokhera drrishti diye chokha vadha yaya
584,dakapiyanera hajara
585,ore dekhe yare tui ratera niravata
586,kakhano kakhano
587,shubhra sunila
588,e hrridaya kanane
589,satakahana
590,dhimatana de re na
591,ore mana vajasane ara
592,sumana chyatarjira tomake chai
593,yadi tumi
594,tomara vandhu haye marilama ami
595,svapnera saikate
596,ami aja akashera mata ekela
597,antara yara athai sagara
598,jochana vihara
599,svadhinatara vijamantra
600,ajada
601,mane pa de
602,valechile tumi tirthe asive
603,tumi chale gele
604,maya়a nai
605,ma
606,vava
607,vandhu
608,adhakhana cha nda hasiche akashe
609,simahina sagare bhasiye bhela
610,ami mukta valaka
611,aja kona kaja nei hate amara
612,ei rimajhima jhima varasha
613,kapale tora chandravindu
614,asamapta 1
615,mago dhanya hala jivana amara tomaya bhalavese
616,svarnali
617,he priya amare divana bhulite
618,ogo vaishakhi jha da
619,dolanacha npa vane dole
620,tajamahala
621,ei rata
622,kupira tela
623,mago aja anekata dina para chuti asachi va di
624,amara e patha tomara pathera theke
625,amara e patha tomara pathera theke aneka dure
626,kache aya tui
627,anubhave kalpanate
628,cha nda mama
629,tana tana chokha
630,hrridaya chi de dekhate yadi
631,aneka ashara khelaghara
632,nadi mishe sagare
633,kichu loka kichu katha valavei
634,chala na patha bhe ne paye paye
635,bhalavasara sukha se to
636,phiriya yadi se ase amare khea nje jhara golava
637,pashanera bha nale ghuma
638,pathahara pakhi ke nde phiri eka
639,nilamvari sha di pari nila yamunaya
640,nishi bhora hala jagiya parana piya
641,tora sava jayadhvani kara
642,tomarei ami chahiyachi priya shatarupe shatavara
643,tomari a nkhira mata akashera duti tara
644,tumi amara sakalavelara sura
645,tilaka dile ki shyama triloka bhulate
646,cha nda heriche cha ndamukha tara
647,cham ke cham ke dhira bhiru paya
648,gothera rakhala vale de re
649,gu nja mala gale ku nje esa he kala
650,gabhira rate jagi khu nji tomare
651,gabhira nishithe ghuma bhe nge yaya
652,ga nga sindhu narmada kaveri yamuna oi
653,khelicha e vishva laye virata shishu anamane
654,kavara jiyarate tumi yao madinaya
655,kata yuga yena dekhini tomare dekhi nai katadina
656,esa priya aro kacha
657,e kona madhura sharava
658,e kula bha nge o kula ga da
659,ami yara nupurera chanda venukara sura
660,amara gahina jalera nadi
661,amara kona kule aja bhi dalo tari
662,amara kalo meyera a ndhara kole
663,amara apanara cheye
664,an mane jala nite
665,savujera vuke lala suryata jhalamala
666,chikichita
667,chale yete yete
668,bhalavasatei have
669,paravena pherate ei mana
670,bhe ngeche dana duto amara
671,cha nda tara surya nao tumi
672,anubhuti
673,mahuya vane dekhechi tare
674,shunao tomara amrrita vani
675,kave tumi andha ashaya
676,kakhano janate cheona
677,mana manusha
678,ghumiya়e pada় yadi
679,hathaৎ rodela dupure
680,tipatipa vrrishti
681,kakhano mana chu nye yaya
682,tomara chavi
683,chale gele
684,meghala meghala ei dine
685,pichu dakara mane nei
686,sei duti chokha
687,haralo ei mana
688,bhorera kuyasha
689,eka anishchayata
690,gatakala rate
691,duti mana
692,ara nai ye deri nai ye deri
693,amara nutana pranera chara ha ha
694,pausha todera daka diyeche
695,ela ye shitera vela varasha pare
696,shiuli pho nta phurola yei phurola shitera vane
697,shitera haoyara lagala nachana am lakira ei dale dale
698,se dina amaya valechile amara samaya haya nai
699,hemante kon vasanterai vani purnashashi oi ye dila ani
700,haya hemantalakshmi tomara nayana kena dhaka
701,pohalo pohalo vibhavari
702,sei to tomara pathera va ndhu sei to
703,alora amala kamalakhani ke phutale
704,ogo sa notali chele
705,uchcha padastha tadanta kamiti
706,tumi acha vale
707,charanadhvani shuni tava natha jivanatire
708,kena vani tava nahi shuni natha he
709,akarane akale mora pa dala yakhana daka
710,agune hala agunamaya
711,ore aguna amara bhai
712,yete yadi haya have
713,tomara nama jani ne sura jani
714,lo shephali olo shephali
715,dekho dekho dekho shukatara a nkhi meli chaya
716,sara nishi chilema shuye vijana bhu nye
717,hrridaye chile jege
718,akasha hate khasala tara a ndhara rate pathahara
719,kon khepa shravana chute ela ashvinerai a ninaya
720,sharaৎ tomara aruna alora a njali
721,tomara mohana rupe ke raya bhule
722,sharaৎ alora kamalavane
723,ogo shephali vanera manera kamana
724,aja prathama phulera pava prasadakhani tai bhore uthechi
725,sharate aja kon atithi ela pranera dvare
726,shiuli phula shiuli phula kemana bhula emana bhula
727,amara nayana bhulano ele
728,amala dhavala pale legeche manda madhura haoya
729,amara ve ndhechi kashera guchcha amara ge nthechi shephalimala
730,ami bhalavasi manushake
731,o galera golape ghuma ghuma pralape
732,ogo tumi pa nchadashi
733,svaghana gahana ratri jhariche shravanadhara
734,aji megha kete geche sakalavelaya
735,nivi da meghera chayaya mana diyechi mele
736,esechinu dvare tava shravana rate
737,svapne amara mane hala
738,aji jharo jharo mukhara vadaradine
739,aji tomaya avara chai shunavare
740,yaya dina shravanadina yaya
741,trrishnara shanti sundarakanti
742,aja varashara rupa heri manavera majhe
743,hrridaya amara nache re ajike
744,a ndhara amvare prachanda damvaru vajila gambhira garajane
745,oi malatilata dole
746,vedanara ram
747,nila navaghane asha dha gagane tila tha ni ara nahi re
748,ami shravana akashe oi diyechi pati
749,ami takhana chilema magana gahana ghumera ghore
750,madhu gandhe bhara mrridu snigdhachaya nipa ku njatale
751,hrridaye mandrila damaru guru guru
752,dharani dure cheye kena aja achisa jega
753,avara shravana haye ele phire
754,chitta amara haralo aja meghera majhakhane
755,eso he eso sajala ghana vadalavarishane
756,amare yadi jagale aji natha
757,aji jha dera rate tomara abhisara
758,aji shravanaghanagahana mohe gopana tava charana phele
759,kena pantha e cha nchalata
760,shravana tumi vatase kara abhasa pele
761,oi ki ele akashapare dika lalanara priya
762,tapera tapera va ndhana katuka rasera varshane
763,shyamala shobhana shravana tumi nai va gele
764,ekala vase vadala sheshe shuni kata ki
765,dharanira gaganera milanera chande
766,ashrubhara vedana dike dike jage
767,aja shravanera purnimate ki enechisa val
768,kotha ye udhao hala mora prana udasi
769,eso nipavane chayavithi tale
770,vadala dhara hala sara vaje vidaya sura
771,vrrishti sheshera haoya kisera kho nje
772,bhora hala yei shravanasharvari
773,aji hrridaya amara yaya ye bhese
774,eki gabhira vani ela ghana meghera a dala dha re
775,vadala vaula vajaya re ekatara
776,vahu yugera o para hate asha dha ela amara mane
777,shravanameghera adheka duyara oi khola
778,aji varsharatera sheshe
779,puva sagarera para hate kona ela paravasi
780,ei sakala velara vadala a ndhare
781,aja akashera manera katha jharo jharo vaje
782,kakhana vadala cho noya lege
783,oi ye jha dera meghera kole
784,utala dhara vadala jhare sakala vela eka ghare
785,meghera kole kole yaya re chale vakera pa nti
786,ei shravanera vukera bhitara aguna ache
787,ore jha da neme aya aya re amara shukano patara dale
788,vajramanika diye ga ntha asha dha tomara mala
789,pathika meghera dala jote oi shravanagagana a ngane
790,aja shravanera amantrane
791,kon puratana pranera tane
792,ahvana asila mahoৎsave
793,shyamala chaya naiva gele
794,o asha dhera purnima amara aji raile a dale
795,aji oi akasha pare sudhaya bhare asha dha meghera pha nka
796,gahana rate shravanadhara pa diche jhare
797,ei shravana vela vadala jhara yuthivanera gandhe bhara
798,aja kichutei yaya na manera bhara
799,shravanavarishana para haye ki vani ase oi raye raye
800,chaya ghanaiche vane vane gagane gagane dake deya
801,asha dha kotha hate aja peli cha da
802,kadamverai kanana gheri asha dhameghera chaya khele
803,akashatale dale dale
804,timira avagunthane vadana tava
805,ogo amara shravana meghera
806,vadala meghe madala vaje
807,aja vari jhare jharajhara bhara vadare
808,asha dhasandhya ghaniye ela gela re dina vaye
809,tomaya ghire
810,sagarika khuje to pai ni
811,va nshi vaje ai dure
812,tomake manaya bhala
813,khatara pataya likhate ese
814,ami cha ndake valechi aja rate
815,tumi janave na konadina
816,bhalo lage na
817,sagara pa di
818,rimajhima rimajhima ela re shravana
819,papera srote
820,tomake aja vare vare
821,kalo maiya়a
822,tumi sukhe nei
823,mishti meya়e
824,vanyera vane raya়
825,ekaki akashera sandhatara
826,sukhi chele
827,amio manusha
828,ei rupali gitara
829,vela sheshe
830,oi elo re
831,bhiru bhiru paya়e
832,ghuma bha nga shahare
833,tina purusha
834,bhalo lage amara
835,ei rate
836,eto chai
837,kichu kichu katha
